vin,sellingprice
1g6dp567450124779,7856.122551153679
1gtw7fca7e1902207,17676.253998202552
jn8az1mw6dw303497,17676.253998202552
2g1wf5e34d1160703,17676.253998202552
1n6aa0ec3dn301209,17676.253998202552
wvwvd63b93e175638,7856.122551153679
5npeb4ac4dh809686,17676.253998202552
1fm5k7b97dgb16454,7856.122551153679
jn1cv6ar5bm411441,17676.253998202552
3gnfc16j77g158033,7856.122551153679
2g1wb5e30d1140332,17676.253998202552
jf2sjadc1fh417932,17676.253998202552
1fmcu0f75eue15137,17676.253998202552
jn8az18w29w128991,7856.122551153679
3fadp4ejxcm158293,7856.122551153679
1fahp2e96dg230937,17676.253998202552
knaft4a24b5326931,17676.253998202552
wbaeb5c57ac225968,17676.253998202552
1gndt13sx62216518,7856.122551153679
3gcukrec4eg454516,17676.253998202552
kmhgc4ddxcu168540,17676.253998202552
2gnfleek4c6221421,17676.253998202552
3gnda23d06s523147,7856.122551153679
ja32u1fu0du008397,17676.253998202552
1fbne3bl1eda46070,17676.253998202552
2b8gp54l01r117477,7856.122551153679
1fadp3f28el323070,17676.253998202552
1g3nl52f32c104253,7856.122551153679
yv4992dz6a2034805,7856.122551153679
1gmdv33l15d274975,7856.122551153679
3fahp0ha5cr314457,17676.253998202552
kndjp3a5xe7072298,17676.253998202552
jh4cu2f49cc003441,17676.253998202552
1g2zm177284122405,17676.253998202552
1hgcp2f38ba122870,17676.253998202552
1n4aa5ap0bc847988,17676.253998202552
jt2bf28kx10337262,17676.253998202552
2gtek13v961325160,7856.122551153679
1n4aa5ap7ac811245,17676.253998202552
1fadp3k25el151313,17676.253998202552
4t1bf1fk9eu774829,17676.253998202552
waugfafc2en098654,17676.253998202552
3fa6p0hr2dr238002,17676.253998202552
3fahp0ja5cr276738,7856.122551153679
2g1fa1e30d9157807,17676.253998202552
2t3bfrev4dw038526,17676.253998202552
5yfbu4ee8dp189095,17676.253998202552
yv1sz59h741164165,7856.122551153679
1hgcr2f84da020569,17676.253998202552
1c4njcba3fd124498,17676.253998202552
1n4aa51e09c834554,7856.122551153679
1fmfu17525la35873,7856.122551153679
3vw2k7aj6dm209150,17676.253998202552
5j6rm3h7xdl004568,17676.253998202552
waufgafb8an026867,7856.122551153679
3fahp0ha0cr307061,17676.253998202552
1lnhm87a82y644589,7856.122551153679
2hkrl18022h576543,7856.122551153679
2t1burhe2ec210372,17676.253998202552
nm0ge9f77e1151554,17676.253998202552
5xxgr4a66dg133932,17676.253998202552
