vin,sellingprice
1g6dp567450124779,3847.2066174933943
1gtw7fca7e1902207,21417.145701450943
jn8az1mw6dw303497,18622.72035349893
2g1wf5e34d1160703,9388.853184235335
1n6aa0ec3dn301209,21857.6820991775
wvwvd63b93e175638,1497.900979749938
5npeb4ac4dh809686,12043.715584730195
1fm5k7b97dgb16454,13142.50186547915
jn1cv6ar5bm411441,16662.142360756887
3gnfc16j77g158033,6402.129804357724
2g1wb5e30d1140332,14590.805706333565
jf2sjadc1fh417932,25378.34476778409
1fmcu0f75eue15137,13419.891308544835
jn8az18w29w128991,14658.868994359402
3fadp4ejxcm158293,7901.3767948581435
1fahp2e96dg230937,15120.357397518423
knaft4a24b5326931,7011.916014538832
wbaeb5c57ac225968,24419.54532979415
1gndt13sx62216518,6002.45658452375
3gcukrec4eg454516,25969.14390274322
kmhgc4ddxcu168540,14747.400976992707
2gnfleek4c6221421,13349.406136951111
3gnda23d06s523147,2653.9275596325633
ja32u1fu0du008397,13617.196246984891
1fbne3bl1eda46070,19573.058945849574
2b8gp54l01r117477,503.24027208618844
1fadp3f28el323070,14274.44646535594
1g3nl52f32c104253,2115.494496358371
yv4992dz6a2034805,12029.02170704192
1gmdv33l15d274975,5477.848885755235
3fahp0ha5cr314457,12094.527430908944
kndjp3a5xe7072298,15213.796610408705
jh4cu2f49cc003441,18223.43081287185
1g2zm177284122405,9176.388251583283
1hgcp2f38ba122870,13181.772196885682
1n4aa5ap0bc847988,14728.744938833242
jt2bf28kx10337262,5888.548878964293
2gtek13v961325160,7563.034022298229
1n4aa5ap7ac811245,14430.305213227133
1fadp3k25el151313,12081.936803101085
4t1bf1fk9eu774829,14232.462554897955
waugfafc2en098654,26426.565228937437
3fa6p0hr2dr238002,10965.303615001429
3fahp0ja5cr276738,9608.385875746424
2g1fa1e30d9157807,16056.30752012023
2t3bfrev4dw038526,17756.90731033468
5yfbu4ee8dp189095,12688.781982494596
yv1sz59h741164165,3335.9014112067753
1hgcr2f84da020569,14830.336401072527
1c4njcba3fd124498,21979.561705743738
1n4aa51e09c834554,5885.268906890583
1fmfu17525la35873,7244.470494830403
3vw2k7aj6dm209150,12871.9073803904
5j6rm3h7xdl004568,21085.18248257435
waufgafb8an026867,16577.675915482003
3fahp0ha0cr307061,14094.719244315696
1lnhm87a82y644589,1656.3315056316032
2hkrl18022h576543,2238.1876388796636
2t1burhe2ec210372,17966.20238116925
nm0ge9f77e1151554,24677.400642049095
5xxgr4a66dg133932,16885.013119966203
5j6re48348l033196,8767.394592919107
1gnlvfed5aj252374,11972.991256251906
1ftfw1e69dfd71401,27867.717374331278
kmhdh4ae8du795370,10080.00150362731
1n4al2ap3cn408119,12720.87535894026
waugn74f37n041255,8142.09231212396
5xykt3a63eg479116,17582.39525596371
