vin,sellingprice
1g6dp567450124779,4100.33129572943
1gtw7fca7e1902207,20920.98352162702
jn8az1mw6dw303497,18560.5256515145
2g1wf5e34d1160703,8893.148324100053
1n6aa0ec3dn301209,21860.99781722986
wvwvd63b93e175638,1903.6293143369414
5npeb4ac4dh809686,12252.34628831259
1fm5k7b97dgb16454,15666.634377312448
jn1cv6ar5bm411441,18168.55132822786
3gnfc16j77g158033,11465.359028174866
2g1wb5e30d1140332,12439.720936722833
jf2sjadc1fh417932,23575.885945917555
1fmcu0f75eue15137,10304.312553241427
jn8az18w29w128991,10400.558996541302
3fadp4ejxcm158293,7285.029448019372
1fahp2e96dg230937,13462.953820931261
knaft4a24b5326931,5509.032479055359
wbaeb5c57ac225968,36541.743356715146
1gndt13sx62216518,3264.506761893413
3gcukrec4eg454516,27980.025637168288
kmhgc4ddxcu168540,15918.004425832663
2gnfleek4c6221421,11973.995970582026
3gnda23d06s523147,6387.917917103054
ja32u1fu0du008397,9230.300855660116
1fbne3bl1eda46070,20790.895032693526
2b8gp54l01r117477,1270.5597773013267
1fadp3f28el323070,12208.614455085815
1g3nl52f32c104253,1511.307383077266
yv4992dz6a2034805,18100.447273691036
1gmdv33l15d274975,5306.2849164197205
3fahp0ha5cr314457,10851.43493493486
kndjp3a5xe7072298,14152.895812735182
jh4cu2f49cc003441,17475.96735620809
1g2zm177284122405,7629.5956961334105
1hgcp2f38ba122870,12683.706079909407
1n4aa5ap0bc847988,16694.564812975004
jt2bf28kx10337262,1592.338598573698
2gtek13v961325160,8942.10911260521
1n4aa5ap7ac811245,15140.753033411376
1fadp3k25el151313,12101.155613677833
4t1bf1fk9eu774829,15384.67215239949
waugfafc2en098654,37756.67410129948
3fa6p0hr2dr238002,11164.053886868687
3fahp0ja5cr276738,9964.564886477696
2g1fa1e30d9157807,16585.189165700427
2t3bfrev4dw038526,17375.495556396134
5yfbu4ee8dp189095,11970.841129438635
yv1sz59h741164165,2881.2035945772245
1hgcr2f84da020569,16835.26082932474
1c4njcba3fd124498,16406.924347952154
1n4aa51e09c834554,7272.932822189215
1fmfu17525la35873,6532.201958808307
3vw2k7aj6dm209150,11395.312931153714
5j6rm3h7xdl004568,20760.276183089383
waufgafb8an026867,18996.494610476246
3fahp0ha0cr307061,10703.030555315452
1lnhm87a82y644589,1450.4251319576726
2hkrl18022h576543,1752.675762665461
2t1burhe2ec210372,14286.32641794201
nm0ge9f77e1151554,20919.96390409292
5xxgr4a66dg133932,19136.328895856193
5j6re48348l033196,8243.39671917789
1gnlvfed5aj252374,12705.925829815133
1ftfw1e69dfd71401,31364.389783877858
kmhdh4ae8du795370,9169.00834710596
1n4al2ap3cn408119,11853.487888525031
waugn74f37n041255,17857.520753096203
5xykt3a63eg479116,16959.10380238858
4t1bf3ek2au532729,10647.69032562448
knafx4a62e5225883,11734.029149009728
jnkcv51e63m329092,3755.659127011321
jn1by1ar2cm394735,24692.635753384853
1j4fa59s0yp723644,1467.5507548944752
1fahp3f28cl166154,9169.963189067908
jtebu4bf2bk113263,24668.88863205111
2c4rc1gg7er180355,24612.11590694624
2hges16374h588764,2600.126395200426
wddgf81x78f169485,12628.472748659586
2c4rdgcg3er388917,16749.378361670024
1n4al2ap5cn424564,12096.841414530518
1ftfw1et8cfb48321,22219.900371631396
3fa6p0h71er259567,15303.78608057063
1c3cdzab7dn610562,9952.800975791379
1c6rd7ft7cs204333,21976.199237478308
5npeb4ac3ch290449,13159.48218178302
1ftfw1ef3bfc35956,26129.846848933146
jf1znaa10d1719373,18526.759878964425
2c4rdgegxer431226,20831.66421196482
1n4al3ap9ec105740,14278.320580194459
wbxpa73464wc36440,4822.02956404903
yv440mdb2f2610299,29684.440430086986
2c3ccakt9eh306087,25589.072724342743
2d4fv47tx6h156976,2808.943041201466
1fbss3bl5edb01101,22706.01426552423
1ftww31p86ec33609,13876.00665111765
1g6dw677x50225462,6213.207490231384
1ftfw1r69dfb74948,47381.59032881665
1fahp2e82eg107578,18867.68403745122
jn1cv6ek3cm422386,21683.202532427724
3fa6p0h7xdr271747,13950.256272856099
1g6dw677550216409,4964.221616765324
2gkaluek7c6276284,18638.126644019245
4t4be46k09r098027,6523.115708680152
1ft8w3dt0deb21420,42489.47670516736
knafe122845051705,2418.557573833356
1g1pe5sb9e7114453,12834.07007623624
3c4pddbg6ct222361,10993.776702764686
km8jn72d05u127017,5314.106735175676
5tfhw5f13cx249936,30909.3751106958
1g1pc5sb7d7144958,5693.633856553056
1gnwkmeg6br194783,24093.454794660436
1g1zd5eb9af288546,7726.066685777391
1j4gw48s44c336467,3351.3808920898796
2melm74w1vx603619,796.4502978087156
knafx4a67e5127187,11544.562870395852
2t1br32e14c264462,3753.06688935568
1g1zd5eu9bf201988,9726.44092346775
kndup131046562894,705.4542644448826
2g1wf5ek1b1281581,5095.793931400156
2t2gk31u77c011844,12183.18737282055
1ftnf1cf8ekd17420,18552.873568704763
waulc68e63a233402,3805.42157926758
jthgl46f875015124,17819.187016316526
5j6rm3h53cl025176,17215.83171966593
1fahp3fnxbw188972,8821.044435844295
wbabd33424jy97817,5128.894944319491
5uxfe83529l170811,18659.266344053623
jtdktud32ed584445,11960.4912864545
1g8aj55f77z187488,3469.39660301638
2c4rdgcg0cr204451,10310.040292052945
1n4aa5apxec438000,16471.83081973433
19uua9f55ca002462,22716.911439055148
1ftne24w67da44976,4966.975888614563
jn1cv6el0am150112,20243.335761455226
1fahp3n26cl476501,11983.122437283133
jn8af5mv5dt210835,16417.4523756222
1gnsckkc8fr205029,53662.43524241074
wddgf56x08f039121,13865.088138921185
3n1cn7ap6dl876005,9234.469046853019
1n4aa5ap3cc815652,15226.989097790949
3fadp4ej1dm227597,9573.012568494905
2t3bf4dv7bw172688,14629.633301483798
1g11h5sa9df251711,12845.061091643249
3lnhl2jc4ar615582,10682.020909394503
4t1bf32k33u562748,2743.9169078623727
1d7hu18d75s323919,7789.2144977904745
1b3cc4fb9an189063,4797.609195112439
1gndt13s662358557,2991.895507837416
wddgf4hb5cr239429,19987.59716121542
km8jt3ab7cu401390,12408.804080744803
1gkev23768j263857,9035.079065362073
jthbf5c24c5176380,21328.355367094064
1hgcg165x2a027836,2177.282632427239
kmhd35le6du156678,13528.687805458729
wbavm1c51dvw41350,22947.776053047026
1c4rjeag7ec144910,25669.836349803416
2d4rn4de8ar496990,6194.391016301082
4t1bf1fk7cu098636,12649.83721216329
wauaf78e26a046795,3656.923582428798
1gkdt13s122106237,2111.2903698399314
1n4ba41e66c829787,5589.825525870842
4t3zk3bb8au024609,14301.217781154832
1fm5k8d83dgb86317,26444.93315740506
1n6ad0ev4ac404087,13804.295987200865
2c3ccabg4eh261658,24159.753366430596
1fafp552x3a196871,773.9939668941525
1gnscbkcxfr160773,42436.73089472365
kmhct5ae1du137471,11442.606554642487
2hges16543h601504,2226.93496007069
wba3b5g51fns15840,36078.4704531474
3c4pdddg8dt615227,13744.943249615628
jthce1blxd5001563,30736.623179188922
1j8gl58k85w613103,3213.174885407944
3fahp0gaxcr304900,9647.656965122716
1ftnf1cf0ekd48113,18153.80537583354
1fahp2f83eg183230,20134.626664301235
1g1jc6shxd4189457,8388.030840838317
1fmzu73k53uc18137,1428.5962986833988
1fmcu0h92dud56139,18781.53559156477
jm3ke2cy8f0434836,18741.103439699917
1g1zf57579f254408,10557.188860572789
jthbk262982063524,10754.95447635364
3n1bc1cp1al391729,3490.604122905002
4t1be46k47u032443,5651.021888738883
jn1cv6ap9dm713252,21481.16159708817
jtlkt334264049092,3520.0263508132352
4jgdf7ce4da223492,42284.214011376505
wp0ab2a90ds123041,79957.4910952128
2g1wf5e37d1220344,9093.612900241571
1c3cdfbaxdd268356,12602.853935843847
1j4rr4gg4bc555195,19186.302859923195
1gyek63n92r200314,2605.480875681196
5j6rm4h55cl021118,16865.743999579005
jm1bl1uf3b1390089,7566.628095963856
1nxbu4ee9az306581,8630.600074029151
3ln6l2gk8er825498,27219.734423522073
kmhcn46cx9u341270,3102.17059147172
1fmjk1h5xbef34161,21085.40646105157
jm1gj1v66e1162487,19073.065822276276
1fafp55s53g166741,1608.9374191157926
jhlre4h47bc035761,14127.96104885289
1hgcg56702a023996,2885.8280454939054
3vwrt71k66m746558,3925.5363313597404
5tfdw5f17cx249548,29094.014962486308
2c4rdgcg8er253237,16615.221119230482
19uua56883a074677,2641.682240789325
2lmdu68cx8bj05646,10199.82369381586
5n1ar18u67c626356,4317.279513274578
1ftne2ew8eda20173,21673.93060204597
1fahp3gn9bw184524,6870.501229679737
19xfb2f5xee243381,6478.792952535038
1gtw7fca5e1905770,20964.183906181657
1zvht85h455209305,7605.30876561198
1fafp55u11a128859,1766.6588767923618
jthbe1bl6d5001460,31067.717176760605
jm3er2bm7b0405127,12827.4442293359
2c3cdxct1eh315591,22335.621775815154
5xxgn4a7xcg039135,13282.156832728424
1g2zg57bx94117540,3778.175102132673
3n1ab6ap9al644813,6685.938387100254
jtjbt20x930014425,9787.452138232316
1g6dt57v780164982,11735.235892295615
2fmdk3kc4eba30799,22864.14755243644
2c4rdgbg9dr616368,11046.436947712229
1ft8w3bt5cea27096,32731.95460374041
jthbe96s070016618,11872.382513460843
jtmbk33v085063691,8207.048468772344
