vin,sellingprice
1g6dp567450124779,4771.352145170231
1gtw7fca7e1902207,20659.793050207772
jn8az1mw6dw303497,18398.019665077998
2g1wf5e34d1160703,9692.31050296862
1n6aa0ec3dn301209,21219.02717687824
wvwvd63b93e175638,2919.8172663658734
5npeb4ac4dh809686,12393.250001411778
1fm5k7b97dgb16454,18404.668442537008
jn1cv6ar5bm411441,17768.572365017757
3gnfc16j77g158033,11373.976669072657
2g1wb5e30d1140332,12912.922044515553
jf2sjadc1fh417932,22333.954259221257
1fmcu0f75eue15137,11241.75974147269
jn8az18w29w128991,11500.96378002688
3fadp4ejxcm158293,8137.846892922236
1fahp2e96dg230937,13912.617858422736
knaft4a24b5326931,7095.564711883232
wbaeb5c57ac225968,31834.56690831093
1gndt13sx62216518,4714.05281456773
3gcukrec4eg454516,26609.821370640882
kmhgc4ddxcu168540,15926.824168438721
2gnfleek4c6221421,12724.405409527704
3gnda23d06s523147,7095.28673447719
ja32u1fu0du008397,9852.460486452337
1fbne3bl1eda46070,20179.624225196392
2b8gp54l01r117477,2345.7312608634093
1fadp3f28el323070,12051.155682836912
1g3nl52f32c104253,2997.9482615332213
yv4992dz6a2034805,17446.69620188598
1gmdv33l15d274975,6656.007916513704
3fahp0ha5cr314457,10932.463955121259
kndjp3a5xe7072298,13832.684249960099
jh4cu2f49cc003441,17312.417651333893
1g2zm177284122405,6444.610903922243
1hgcp2f38ba122870,12930.885469507122
1n4aa5ap0bc847988,16438.96132471223
jt2bf28kx10337262,2461.533694790312
2gtek13v961325160,8793.129028780055
1n4aa5ap7ac811245,14408.383215545571
1fadp3k25el151313,12142.863830556536
4t1bf1fk9eu774829,14967.943526945292
waugfafc2en098654,38238.41794775953
3fa6p0hr2dr238002,11608.7114156348
3fahp0ja5cr276738,10563.709972889788
2g1fa1e30d9157807,16051.918336441733
2t3bfrev4dw038526,16199.765551641323
5yfbu4ee8dp189095,12202.851500210983
yv1sz59h741164165,3739.338903153902
1hgcr2f84da020569,15829.139304236804
1c4njcba3fd124498,15745.811025391537
1n4aa51e09c834554,8533.86580638047
1fmfu17525la35873,7334.896123230896
3vw2k7aj6dm209150,11835.565892093604
5j6rm3h7xdl004568,19843.790800827188
waufgafb8an026867,17972.43858970555
3fahp0ha0cr307061,11522.795764456956
1lnhm87a82y644589,2475.9196803743594
2hkrl18022h576543,2757.818203897431
2t1burhe2ec210372,13971.765739947481
nm0ge9f77e1151554,19777.719735627055
5xxgr4a66dg133932,18746.464097684988
5j6re48348l033196,8921.973205565795
1gnlvfed5aj252374,13472.82550141018
1ftfw1e69dfd71401,29570.82865469542
kmhdh4ae8du795370,9514.457348489455
1n4al2ap3cn408119,11794.44805530657
waugn74f37n041255,14564.106182848598
5xykt3a63eg479116,16701.200866368872
4t1bf3ek2au532729,11209.335604175036
knafx4a62e5225883,11775.713889476212
jnkcv51e63m329092,3975.812826880406
jn1by1ar2cm394735,24067.446920312897
1j4fa59s0yp723644,2400.9256116983183
1fahp3f28cl166154,9849.039829219431
jtebu4bf2bk113263,22734.448477249538
2c4rc1gg7er180355,21739.307085338005
2hges16374h588764,3832.4048897376174
wddgf81x78f169485,13224.167704256195
2c4rdgcg3er388917,16696.707379957596
