vin,sellingprice
1g6dp567450124779,8858.0
1gtw7fca7e1902207,25811.5
jn8az1mw6dw303497,23266.75
2g1wf5e34d1160703,12929.25
1n6aa0ec3dn301209,25774.5
wvwvd63b93e175638,1477.5
5npeb4ac4dh809686,14704.5
1fm5k7b97dgb16454,15419.75
jn1cv6ar5bm411441,20607.75
3gnfc16j77g158033,8097.5
2g1wb5e30d1140332,16123.5
jf2sjadc1fh417932,28373.0
1fmcu0f75eue15137,18962.5
jn8az18w29w128991,15757.25
3fadp4ejxcm158293,9336.0
1fahp2e96dg230937,19061.0
knaft4a24b5326931,7432.75
wbaeb5c57ac225968,28376.5
1gndt13sx62216518,9902.5
3gcukrec4eg454516,28574.0
kmhgc4ddxcu168540,13605.25
2gnfleek4c6221421,17657.0
3gnda23d06s523147,7318.0
ja32u1fu0du008397,12203.5
1fbne3bl1eda46070,20793.5
2b8gp54l01r117477,-3425.25
1fadp3f28el323070,17580.0
1g3nl52f32c104253,2751.0
yv4992dz6a2034805,16730.5
1gmdv33l15d274975,9325.0
3fahp0ha5cr314457,12799.0
kndjp3a5xe7072298,18228.25
jh4cu2f49cc003441,20931.0
1g2zm177284122405,12066.0
1hgcp2f38ba122870,18313.5
1n4aa5ap0bc847988,14555.75
jt2bf28kx10337262,1918.5
2gtek13v961325160,14637.5
1n4aa5ap7ac811245,13536.0
1fadp3k25el151313,16449.75
4t1bf1fk9eu774829,18068.5
waugfafc2en098654,27817.0
3fa6p0hr2dr238002,13700.5
3fahp0ja5cr276738,12376.5
2g1fa1e30d9157807,18005.0
2t3bfrev4dw038526,21134.5
5yfbu4ee8dp189095,18266.0
yv1sz59h741164165,4131.25
1hgcr2f84da020569,17614.25
1c4njcba3fd124498,25005.0
1n4aa51e09c834554,7317.5
1fmfu17525la35873,11476.0
3vw2k7aj6dm209150,13965.75
5j6rm3h7xdl004568,22618.0
waufgafb8an026867,21647.5
3fahp0ha0cr307061,15724.5
1lnhm87a82y644589,736.0
2hkrl18022h576543,-850.5
2t1burhe2ec210372,22340.5
nm0ge9f77e1151554,25084.5
5xxgr4a66dg133932,13272.25
5j6re48348l033196,12845.0
1gnlvfed5aj252374,17220.25
1ftfw1e69dfd71401,26955.25
kmhdh4ae8du795370,12897.0
1n4al2ap3cn408119,12525.0
waugn74f37n041255,15040.0
5xykt3a63eg479116,19120.75
4t1bf3ek2au532729,10759.5
knafx4a62e5225883,15352.5
jnkcv51e63m329092,2923218688786281.0
jn1by1ar2cm394735,24881.5
1j4fa59s0yp723644,2923218688784701.0
1fahp3f28cl166154,12476.0
jtebu4bf2bk113263,22005.5
2c4rc1gg7er180355,20595.5
2hges16374h588764,756.0
wddgf81x78f169485,21840.75
2c4rdgcg3er388917,19137.25
1n4al2ap5cn424564,12182.25
1ftfw1et8cfb48321,25126.25
3fa6p0h71er259567,19381.5
1c3cdzab7dn610562,13221.0
1c6rd7ft7cs204333,23921.5
5npeb4ac3ch290449,13696.5
1ftfw1ef3bfc35956,23299.0
jf1znaa10d1719373,2923218688799827.0
2c4rdgegxer431226,20089.5
1n4al3ap9ec105740,15725.0
wbxpa73464wc36440,14399.5
yv440mdb2f2610299,29216.5
2c3ccakt9eh306087,22474.5
2d4fv47tx6h156976,-417.0
1fbss3bl5edb01101,24375.0
1ftww31p86ec33609,14906.75
1g6dw677x50225462,10713.25
1ftfw1r69dfb74948,27627.0
1fahp2e82eg107578,20415.5
jn1cv6ek3cm422386,26629.75
3fa6p0h7xdr271747,16387.5
1g6dw677550216409,11360.0
2gkaluek7c6276284,25623.25
4t4be46k09r098027,5295.5
1ft8w3dt0deb21420,28494.75
knafe122845051705,-1000.5
1g1pe5sb9e7114453,18391.0
3c4pddbg6ct222361,14105.25
km8jn72d05u127017,7002.0
5tfhw5f13cx249936,24432.5
1g1pc5sb7d7144958,12851.0
1gnwkmeg6br194783,17448.75
1g1zd5eb9af288546,9130.75
1j4gw48s44c336467,6933.0
2melm74w1vx603619,-7843.25
knafx4a67e5127187,14613.0
2t1br32e14c264462,5096.75
1g1zd5eu9bf201988,10347.0
kndup131046562894,2919.0
2g1wf5ek1b1281581,7735.75
2t2gk31u77c011844,22450.0
1ftnf1cf8ekd17420,28124.0
waulc68e63a233402,12287.5
jthgl46f875015124,16165.75
5j6rm3h53cl025176,22673.75
1fahp3fnxbw188972,12474.25
