vin,sellingprice
1g6dp567450124779,1428.5323760119797
1gtw7fca7e1902207,1349.8166047143025
jn8az1mw6dw303497,1590.1120126962153
2g1wf5e34d1160703,1361.6095248634313
1n6aa0ec3dn301209,1334.6421733170114
wvwvd63b93e175638,1222.3405745002224
5npeb4ac4dh809686,1420.5632876515901
1fm5k7b97dgb16454,1601.8082858055036
jn1cv6ar5bm411441,1465.219629560777
3gnfc16j77g158033,1336.7233849849279
2g1wb5e30d1140332,1454.2939556747258
jf2sjadc1fh417932,1382.0690339162727
1fmcu0f75eue15137,1422.3691785662993
jn8az18w29w128991,1387.628152855332
3fadp4ejxcm158293,1406.5104749024792
1fahp2e96dg230937,1494.429753854148
knaft4a24b5326931,1359.8520552721877
wbaeb5c57ac225968,1346.9701622702141
1gndt13sx62216518,1287.667649319584
3gcukrec4eg454516,1543.0997243436284
kmhgc4ddxcu168540,1354.8280881815979
2gnfleek4c6221421,1462.355978975949
3gnda23d06s523147,1449.3180796548017
ja32u1fu0du008397,1250.1789777303052
1fbne3bl1eda46070,1299.477927483482
2b8gp54l01r117477,1269.9234710222936
1fadp3f28el323070,1631.2608212390394
1g3nl52f32c104253,1101.1309200245878
yv4992dz6a2034805,1267.3083996188952
1gmdv33l15d274975,1279.0131636006934
3fahp0ha5cr314457,1696.451249563064
kndjp3a5xe7072298,1389.6655958715771
jh4cu2f49cc003441,1491.8043653319887
1g2zm177284122405,1196.0289687456566
1hgcp2f38ba122870,1493.047761477372
1n4aa5ap0bc847988,1566.0467326178375
jt2bf28kx10337262,1285.482486649444
2gtek13v961325160,1253.3125783223531
1n4aa5ap7ac811245,1406.5465934842423
1fadp3k25el151313,1608.8323625784546
4t1bf1fk9eu774829,1645.809677270346
waugfafc2en098654,1328.5356999970797
3fa6p0hr2dr238002,1628.7796541135099
3fahp0ja5cr276738,1495.0818473587938
2g1fa1e30d9157807,1337.8815752050434
2t3bfrev4dw038526,1459.4239835354501
5yfbu4ee8dp189095,1550.7570698555335
yv1sz59h741164165,1303.991001164575
1hgcr2f84da020569,1462.2761575891566
1c4njcba3fd124498,1362.5725487616176
1n4aa51e09c834554,1283.9643080956596
1fmfu17525la35873,1354.1847757004118
3vw2k7aj6dm209150,1519.8862835214966
5j6rm3h7xdl004568,1453.007921461248
waufgafb8an026867,1360.759422063532
3fahp0ha0cr307061,1650.5702720806273
1lnhm87a82y644589,1371.024367964485
2hkrl18022h576543,1245.4739044733954
2t1burhe2ec210372,1486.1888663639718
nm0ge9f77e1151554,1412.574030123541
5xxgr4a66dg133932,1393.8075764410517
5j6re48348l033196,1492.3503286282953
1gnlvfed5aj252374,1375.28767307808
1ftfw1e69dfd71401,1505.249799913404
kmhdh4ae8du795370,1371.9904519940792
1n4al2ap3cn408119,1669.6868277756018
waugn74f37n041255,1249.875664446046
5xykt3a63eg479116,1466.8028839934118
4t1bf3ek2au532729,1449.0028490552183
knafx4a62e5225883,1456.8388844762642
jnkcv51e63m329092,1309.172951825265
jn1by1ar2cm394735,1437.8580116936164
1j4fa59s0yp723644,1261.8239932488882
1fahp3f28cl166154,1679.4533017991598
