vin,sellingprice
1g6dp567450124779,3361.3570340735746
1gtw7fca7e1902207,21320.14502656121
jn8az1mw6dw303497,20239.189733527226
2g1wf5e34d1160703,9450.401347316201
1n6aa0ec3dn301209,22592.3187087927
wvwvd63b93e175638,2935.836893843037
5npeb4ac4dh809686,12407.209672128052
1fm5k7b97dgb16454,14531.820105820107
jn1cv6ar5bm411441,17850.47136844259
3gnfc16j77g158033,10004.081597182772
2g1wb5e30d1140332,12863.211055145948
jf2sjadc1fh417932,23150.842924816214
1fmcu0f75eue15137,9582.33338460716
jn8az18w29w128991,12857.74500170963
3fadp4ejxcm158293,7076.5797611821845
1fahp2e96dg230937,15767.218370677561
knaft4a24b5326931,7280.823480091442
wbaeb5c57ac225968,31118.049702241875
1gndt13sx62216518,6202.054960878078
3gcukrec4eg454516,26774.51626410185
kmhgc4ddxcu168540,15918.447843002423
2gnfleek4c6221421,14340.220169987793
3gnda23d06s523147,4242.951684023889
ja32u1fu0du008397,9418.800717007587
1fbne3bl1eda46070,19642.285623552358
2b8gp54l01r117477,1786.1894972209116
1fadp3f28el323070,13905.80233479297
1g3nl52f32c104253,2027.8077678368404
yv4992dz6a2034805,10848.674006996122
1gmdv33l15d274975,5065.936731592244
3fahp0ha5cr314457,11263.711701864671
kndjp3a5xe7072298,14030.086331765257
jh4cu2f49cc003441,17969.774729402536
1g2zm177284122405,11404.800122553977
1hgcp2f38ba122870,11861.836314777975
1n4aa5ap0bc847988,17581.270043641616
jt2bf28kx10337262,4413.38373015873
2gtek13v961325160,8207.077703037703
1n4aa5ap7ac811245,16125.452550811022
1fadp3k25el151313,12580.006997672996
4t1bf1fk9eu774829,15269.973498824944
waugfafc2en098654,33552.666666666664
3fa6p0hr2dr238002,10991.630168464273
3fahp0ja5cr276738,9386.607920247316
2g1fa1e30d9157807,18904.20383143225
2t3bfrev4dw038526,16756.988445394836
5yfbu4ee8dp189095,11919.21103935412
yv1sz59h741164165,4419.796222937539
1hgcr2f84da020569,16445.813167527896
1c4njcba3fd124498,14862.667481948849
1n4aa51e09c834554,7019.181182066499
1fmfu17525la35873,6480.1034716711065
3vw2k7aj6dm209150,9806.401964560635
5j6rm3h7xdl004568,20533.20946065035
waufgafb8an026867,18723.60385649209
3fahp0ha0cr307061,12247.52687466009
1lnhm87a82y644589,1749.8800817407796
2hkrl18022h576543,1796.7966967208067
2t1burhe2ec210372,14157.645076296174
nm0ge9f77e1151554,24128.83877505342
5xxgr4a66dg133932,18503.1547170468
5j6re48348l033196,8880.23429173211
1gnlvfed5aj252374,14228.125198377156
1ftfw1e69dfd71401,34401.66407588602
kmhdh4ae8du795370,9405.47659108075
1n4al2ap3cn408119,12439.931016102126
waugn74f37n041255,13554.143937934765
5xykt3a63eg479116,16347.334650154238
4t1bf3ek2au532729,8468.401023363007
knafx4a62e5225883,11978.157292980379
jnkcv51e63m329092,3629.5773845029817
jn1by1ar2cm394735,27671.51719742663
1j4fa59s0yp723644,4100.935223612721
1fahp3f28cl166154,9578.871967533241
jtebu4bf2bk113263,26389.026635024624
2c4rc1gg7er180355,22138.316565681518
2hges16374h588764,2545.634392118264
wddgf81x78f169485,16891.666666666668
2c4rdgcg3er388917,16482.13538287954
1n4al2ap5cn424564,11751.876235946002
1ftfw1et8cfb48321,25631.2244602813
3fa6p0h71er259567,16216.245339183892
1c3cdzab7dn610562,9893.940583137724
1c6rd7ft7cs204333,15876.231884057968
5npeb4ac3ch290449,11788.636677032713
1ftfw1ef3bfc35956,25769.83922126212
jf1znaa10d1719373,19138.913625391826
2c4rdgegxer431226,19502.263638914457
1n4al3ap9ec105740,12275.216461118818
wbxpa73464wc36440,4035.9818758220677
yv440mdb2f2610299,30833.686889288183
2c3ccakt9eh306087,24647.76248003262
2d4fv47tx6h156976,2457.394974682799
1fbss3bl5edb01101,23286.521042077013
1ftww31p86ec33609,12574.790880069479
1g6dw677x50225462,3025.3772329792228
1ftfw1r69dfb74948,48369.819913964035
1fahp2e82eg107578,19685.381270421818
jn1cv6ek3cm422386,22889.806104811105
3fa6p0h7xdr271747,12892.39062557838
1g6dw677550216409,4546.168988751209
2gkaluek7c6276284,19452.53347985121
4t4be46k09r098027,5915.719359602337
1ft8w3dt0deb21420,43625.297986764985
knafe122845051705,2882.407739580804
1g1pe5sb9e7114453,12452.845275456499
3c4pddbg6ct222361,9881.179439948179
km8jn72d05u127017,4986.742234476159
5tfhw5f13cx249936,21264.00610500611
1g1pc5sb7d7144958,8060.417395335568
1gnwkmeg6br194783,21653.369585643562
1g1zd5eb9af288546,7061.040925535735
1j4gw48s44c336467,4049.877065601157
2melm74w1vx603619,1734.1063005166334
knafx4a67e5127187,10162.65061817087
2t1br32e14c264462,4863.527364128676
1g1zd5eu9bf201988,6265.748873174543
kndup131046562894,5052.213046033067
2g1wf5ek1b1281581,6146.97452845077
2t2gk31u77c011844,14021.913662837498
1ftnf1cf8ekd17420,21008.076860792004
waulc68e63a233402,5412.335548919274
jthgl46f875015124,15183.555555555553
5j6rm3h53cl025176,20510.993557637907
1fahp3fnxbw188972,10492.24575806866
wbabd33424jy97817,3914.28677723345
5uxfe83529l170811,22270.40775909536
jtdktud32ed584445,11436.222713127187
1g8aj55f77z187488,5842.83342151169
2c4rdgcg0cr204451,9922.114399738704
1n4aa5apxec438000,14371.011177478913
19uua9f55ca002462,22829.926880833184
1ftne24w67da44976,3731.1811617653243
jn1cv6el0am150112,17158.929831178444
1fahp3n26cl476501,7434.5636549615965
jn8af5mv5dt210835,14862.746904478838
1gnsckkc8fr205029,50131.8544071036
wddgf56x08f039121,11346.474707328563
3n1cn7ap6dl876005,8663.329821694235
1n4aa5ap3cc815652,16107.00396308288
3fadp4ej1dm227597,10537.1584728126
2t3bf4dv7bw172688,13916.803268371114
1g11h5sa9df251711,12626.745669536747
3lnhl2jc4ar615582,9736.016752129597
4t1bf32k33u562748,2205.9612804457406
1d7hu18d75s323919,9974.561460998877
1b3cc4fb9an189063,6789.925746421418
1gndt13s662358557,4994.273398369231
wddgf4hb5cr239429,20227.692814976403
km8jt3ab7cu401390,15492.439057250393
1gkev23768j263857,11585.710320621945
jthbf5c24c5176380,22103.34980971215
1hgcg165x2a027836,1814.3532318610198
kmhd35le6du156678,14203.136545817772
wbavm1c51dvw41350,22214.460808667707
1c4rjeag7ec144910,24180.999849763833
2d4rn4de8ar496990,7405.6989726671345
4t1bf1fk7cu098636,13146.081929948323
wauaf78e26a046795,3034.3461377995927
1gkdt13s122106237,2333.067019523593
1n4ba41e66c829787,3153.6117242472087
