vin,sellingprice
1g6dp567450124779,4234.2866
1gtw7fca7e1902207,20818.498
jn8az1mw6dw303497,21339.18
2g1wf5e34d1160703,9276.524
1n6aa0ec3dn301209,23817.402
wvwvd63b93e175638,2028.1702
5npeb4ac4dh809686,12413.799
1fm5k7b97dgb16454,13538.492
jn1cv6ar5bm411441,17658.363
3gnfc16j77g158033,7657.869
2g1wb5e30d1140332,14655.491
jf2sjadc1fh417932,25504.162
1fmcu0f75eue15137,13347.662
jn8az18w29w128991,15502.544
3fadp4ejxcm158293,8271.037
1fahp2e96dg230937,15163.819
knaft4a24b5326931,6982.6587
wbaeb5c57ac225968,26532.889
1gndt13sx62216518,6457.7607
3gcukrec4eg454516,28974.625
kmhgc4ddxcu168540,16611.096
2gnfleek4c6221421,13174.063
3gnda23d06s523147,4148.031
ja32u1fu0du008397,12337.645
1fbne3bl1eda46070,19318.611
2b8gp54l01r117477,1161.1129
1fadp3f28el323070,13983.761
1g3nl52f32c104253,2552.7664
yv4992dz6a2034805,13445.11
1gmdv33l15d274975,4119.713
3fahp0ha5cr314457,12335.931
kndjp3a5xe7072298,14748.151
jh4cu2f49cc003441,17772.145
1g2zm177284122405,8707.093
1hgcp2f38ba122870,12601.342
1n4aa5ap0bc847988,14614.87
jt2bf28kx10337262,3553.571
2gtek13v961325160,9289.0205
1n4aa5ap7ac811245,13607.434
1fadp3k25el151313,12313.908
4t1bf1fk9eu774829,14603.461
waugfafc2en098654,32744.217
3fa6p0hr2dr238002,10823.346
3fahp0ja5cr276738,9386.206
2g1fa1e30d9157807,17710.307
2t3bfrev4dw038526,16940.592
5yfbu4ee8dp189095,11641.708
yv1sz59h741164165,3639.701
1hgcr2f84da020569,13968.8125
1c4njcba3fd124498,20041.871
1n4aa51e09c834554,7283.375
1fmfu17525la35873,7544.639
3vw2k7aj6dm209150,13693.412
5j6rm3h7xdl004568,20791.547
waufgafb8an026867,15710.995
3fahp0ha0cr307061,13321.748
1lnhm87a82y644589,1772.3817
2hkrl18022h576543,2350.0034
2t1burhe2ec210372,16093.874
nm0ge9f77e1151554,25509.793
5xxgr4a66dg133932,17110.045
5j6re48348l033196,9162.991
1gnlvfed5aj252374,15868.52
1ftfw1e69dfd71401,31071.256
kmhdh4ae8du795370,9479.812
1n4al2ap3cn408119,12958.41
waugn74f37n041255,11729.179
5xykt3a63eg479116,16993.809
4t1bf3ek2au532729,8501.061
knafx4a62e5225883,12667.709
jnkcv51e63m329092,4162.938
jn1by1ar2cm394735,25878.785
1j4fa59s0yp723644,4553.243
1fahp3f28cl166154,10550.357
jtebu4bf2bk113263,23102.404
2c4rc1gg7er180355,21310.477
2hges16374h588764,2583.8362
wddgf81x78f169485,18520.201
2c4rdgcg3er388917,17385.094
1n4al2ap5cn424564,10954.907
1ftfw1et8cfb48321,24907.574
3fa6p0h71er259567,15785.476
1c3cdzab7dn610562,10121.447
1c6rd7ft7cs204333,19338.129
5npeb4ac3ch290449,11515.998
1ftfw1ef3bfc35956,24686.879
jf1znaa10d1719373,22036.682
2c4rdgegxer431226,18930.25
1n4al3ap9ec105740,11853.972
wbxpa73464wc36440,4565.365
yv440mdb2f2610299,30270.697
2c3ccakt9eh306087,23039.99
2d4fv47tx6h156976,1245.2065
1fbss3bl5edb01101,23135.076
1ftww31p86ec33609,12210.198
1g6dw677x50225462,3878.1765
1ftfw1r69dfb74948,32886.93
1fahp2e82eg107578,17215.766
jn1cv6ek3cm422386,23611.613
3fa6p0h7xdr271747,13100.418
1g6dw677550216409,4566.491
2gkaluek7c6276284,23648.678
4t4be46k09r098027,5471.9854
1ft8w3dt0deb21420,35258.32
knafe122845051705,1818.9424
1g1pe5sb9e7114453,14012.654
3c4pddbg6ct222361,9618.537
km8jn72d05u127017,2685.9634
5tfhw5f13cx249936,22680.812
1g1pc5sb7d7144958,7848.659
1gnwkmeg6br194783,18906.309
1g1zd5eb9af288546,6991.1143
