vin,sellingprice
1g6dp567450124779,12500.0
1gtw7fca7e1902207,12500.0
jn8az1mw6dw303497,12500.0
2g1wf5e34d1160703,12500.0
1n6aa0ec3dn301209,12500.0
wvwvd63b93e175638,12500.0
5npeb4ac4dh809686,12500.0
1fm5k7b97dgb16454,12500.0
jn1cv6ar5bm411441,12500.0
3gnfc16j77g158033,12500.0
2g1wb5e30d1140332,12500.0
jf2sjadc1fh417932,12500.0
1fmcu0f75eue15137,12500.0
jn8az18w29w128991,12500.0
3fadp4ejxcm158293,12500.0
1fahp2e96dg230937,12500.0
knaft4a24b5326931,12500.0
wbaeb5c57ac225968,12500.0
1gndt13sx62216518,12500.0
3gcukrec4eg454516,12500.0
kmhgc4ddxcu168540,12500.0
2gnfleek4c6221421,12500.0
3gnda23d06s523147,12500.0
ja32u1fu0du008397,12500.0
1fbne3bl1eda46070,12500.0
2b8gp54l01r117477,12500.0
1fadp3f28el323070,12500.0
1g3nl52f32c104253,12500.0
yv4992dz6a2034805,12500.0
1gmdv33l15d274975,12500.0
3fahp0ha5cr314457,12500.0
kndjp3a5xe7072298,12500.0
jh4cu2f49cc003441,12500.0
1g2zm177284122405,12500.0
1hgcp2f38ba122870,12500.0
1n4aa5ap0bc847988,12500.0
jt2bf28kx10337262,12500.0
2gtek13v961325160,12500.0
1n4aa5ap7ac811245,12500.0
1fadp3k25el151313,12500.0
4t1bf1fk9eu774829,12500.0
waugfafc2en098654,12500.0
3fa6p0hr2dr238002,12500.0
3fahp0ja5cr276738,12500.0
2g1fa1e30d9157807,12500.0
2t3bfrev4dw038526,12500.0
5yfbu4ee8dp189095,12500.0
yv1sz59h741164165,12500.0
1hgcr2f84da020569,12500.0
1c4njcba3fd124498,12500.0
1n4aa51e09c834554,12500.0
1fmfu17525la35873,12500.0
3vw2k7aj6dm209150,12500.0
5j6rm3h7xdl004568,12500.0
waufgafb8an026867,12500.0
3fahp0ha0cr307061,12500.0
1lnhm87a82y644589,12500.0
