vin,sellingprice
1g6dp567450124779,13200.0
1gtw7fca7e1902207,13200.0
jn8az1mw6dw303497,13200.0
2g1wf5e34d1160703,13200.0
1n6aa0ec3dn301209,13200.0
wvwvd63b93e175638,13200.0
5npeb4ac4dh809686,13200.0
1fm5k7b97dgb16454,13200.0
jn1cv6ar5bm411441,13200.0
3gnfc16j77g158033,13200.0
2g1wb5e30d1140332,13200.0
jf2sjadc1fh417932,13200.0
1fmcu0f75eue15137,13200.0
jn8az18w29w128991,13200.0
3fadp4ejxcm158293,13200.0
1fahp2e96dg230937,13200.0
knaft4a24b5326931,13200.0
wbaeb5c57ac225968,13200.0
1gndt13sx62216518,13200.0
3gcukrec4eg454516,13200.0
kmhgc4ddxcu168540,13200.0
2gnfleek4c6221421,13200.0
3gnda23d06s523147,13200.0
ja32u1fu0du008397,13200.0
1fbne3bl1eda46070,13200.0
2b8gp54l01r117477,13200.0
1fadp3f28el323070,13200.0
1g3nl52f32c104253,13200.0
yv4992dz6a2034805,13200.0
1gmdv33l15d274975,13200.0
3fahp0ha5cr314457,13200.0
kndjp3a5xe7072298,13200.0
jh4cu2f49cc003441,13200.0
1g2zm177284122405,13200.0
1hgcp2f38ba122870,13200.0
1n4aa5ap0bc847988,13200.0
jt2bf28kx10337262,13200.0
2gtek13v961325160,13200.0
1n4aa5ap7ac811245,13200.0
1fadp3k25el151313,13200.0
4t1bf1fk9eu774829,13200.0
waugfafc2en098654,13200.0
3fa6p0hr2dr238002,13200.0
3fahp0ja5cr276738,13200.0
2g1fa1e30d9157807,13200.0
2t3bfrev4dw038526,13200.0
5yfbu4ee8dp189095,13200.0
yv1sz59h741164165,13200.0
1hgcr2f84da020569,13200.0
1c4njcba3fd124498,13200.0
1n4aa51e09c834554,13200.0
1fmfu17525la35873,13200.0
3vw2k7aj6dm209150,13200.0
5j6rm3h7xdl004568,13200.0
waufgafb8an026867,13200.0
3fahp0ha0cr307061,13200.0
1lnhm87a82y644589,13200.0
2hkrl18022h576543,13200.0
2t1burhe2ec210372,13200.0
nm0ge9f77e1151554,13200.0
5xxgr4a66dg133932,13200.0
5j6re48348l033196,13200.0
1gnlvfed5aj252374,13200.0
1ftfw1e69dfd71401,13200.0
kmhdh4ae8du795370,13200.0
1n4al2ap3cn408119,13200.0
waugn74f37n041255,13200.0
5xykt3a63eg479116,13200.0
4t1bf3ek2au532729,13200.0
knafx4a62e5225883,13200.0
jnkcv51e63m329092,13200.0
jn1by1ar2cm394735,13200.0
1j4fa59s0yp723644,13200.0
1fahp3f28cl166154,13200.0
jtebu4bf2bk113263,13200.0
2c4rc1gg7er180355,13200.0
2hges16374h588764,13200.0
wddgf81x78f169485,13200.0
2c4rdgcg3er388917,13200.0
1n4al2ap5cn424564,13200.0
1ftfw1et8cfb48321,13200.0
3fa6p0h71er259567,13200.0
1c3cdzab7dn610562,13200.0
1c6rd7ft7cs204333,13200.0
5npeb4ac3ch290449,13200.0
1ftfw1ef3bfc35956,13200.0
jf1znaa10d1719373,13200.0
2c4rdgegxer431226,13200.0
1n4al3ap9ec105740,13200.0
wbxpa73464wc36440,13200.0
yv440mdb2f2610299,13200.0
2c3ccakt9eh306087,13200.0
2d4fv47tx6h156976,13200.0
1fbss3bl5edb01101,13200.0
1ftww31p86ec33609,13200.0
1g6dw677x50225462,13200.0
1ftfw1r69dfb74948,13200.0
1fahp2e82eg107578,13200.0
jn1cv6ek3cm422386,13200.0
3fa6p0h7xdr271747,13200.0
1g6dw677550216409,13200.0
2gkaluek7c6276284,13200.0
4t4be46k09r098027,13200.0
1ft8w3dt0deb21420,13200.0
knafe122845051705,13200.0
1g1pe5sb9e7114453,13200.0
3c4pddbg6ct222361,13200.0
km8jn72d05u127017,13200.0
5tfhw5f13cx249936,13200.0
1g1pc5sb7d7144958,13200.0
1gnwkmeg6br194783,13200.0
1g1zd5eb9af288546,13200.0
1j4gw48s44c336467,13200.0
2melm74w1vx603619,13200.0
knafx4a67e5127187,13200.0
2t1br32e14c264462,13200.0
1g1zd5eu9bf201988,13200.0
kndup131046562894,13200.0
2g1wf5ek1b1281581,13200.0
2t2gk31u77c011844,13200.0
1ftnf1cf8ekd17420,13200.0
waulc68e63a233402,13200.0
jthgl46f875015124,13200.0
5j6rm3h53cl025176,13200.0
1fahp3fnxbw188972,13200.0
wbabd33424jy97817,13200.0
5uxfe83529l170811,13200.0
jtdktud32ed584445,13200.0
1g8aj55f77z187488,13200.0
2c4rdgcg0cr204451,13200.0
1n4aa5apxec438000,13200.0
19uua9f55ca002462,13200.0
1ftne24w67da44976,13200.0
jn1cv6el0am150112,13200.0
1fahp3n26cl476501,13200.0
jn8af5mv5dt210835,13200.0
1gnsckkc8fr205029,13200.0
wddgf56x08f039121,13200.0
3n1cn7ap6dl876005,13200.0
1n4aa5ap3cc815652,13200.0
3fadp4ej1dm227597,13200.0
2t3bf4dv7bw172688,13200.0
1g11h5sa9df251711,13200.0
3lnhl2jc4ar615582,13200.0
4t1bf32k33u562748,13200.0
1d7hu18d75s323919,13200.0
1b3cc4fb9an189063,13200.0
1gndt13s662358557,13200.0
wddgf4hb5cr239429,13200.0
km8jt3ab7cu401390,13200.0
1gkev23768j263857,13200.0
jthbf5c24c5176380,13200.0
1hgcg165x2a027836,13200.0
kmhd35le6du156678,13200.0
wbavm1c51dvw41350,13200.0
1c4rjeag7ec144910,13200.0
2d4rn4de8ar496990,13200.0
4t1bf1fk7cu098636,13200.0
wauaf78e26a046795,13200.0
1gkdt13s122106237,13200.0
1n4ba41e66c829787,13200.0
4t3zk3bb8au024609,13200.0
1fm5k8d83dgb86317,13200.0
1n6ad0ev4ac404087,13200.0
2c3ccabg4eh261658,13200.0
1fafp552x3a196871,13200.0
1gnscbkcxfr160773,13200.0
kmhct5ae1du137471,13200.0
2hges16543h601504,13200.0
wba3b5g51fns15840,13200.0
3c4pdddg8dt615227,13200.0
jthce1blxd5001563,13200.0
1j8gl58k85w613103,13200.0
3fahp0gaxcr304900,13200.0
1ftnf1cf0ekd48113,13200.0
1fahp2f83eg183230,13200.0
1g1jc6shxd4189457,13200.0
1fmzu73k53uc18137,13200.0
1fmcu0h92dud56139,13200.0
jm3ke2cy8f0434836,13200.0
1g1zf57579f254408,13200.0
jthbk262982063524,13200.0
3n1bc1cp1al391729,13200.0
4t1be46k47u032443,13200.0
jn1cv6ap9dm713252,13200.0
jtlkt334264049092,13200.0
4jgdf7ce4da223492,13200.0
wp0ab2a90ds123041,13200.0
2g1wf5e37d1220344,13200.0
1c3cdfbaxdd268356,13200.0
1j4rr4gg4bc555195,13200.0
1gyek63n92r200314,13200.0
5j6rm4h55cl021118,13200.0
jm1bl1uf3b1390089,13200.0
1nxbu4ee9az306581,13200.0
3ln6l2gk8er825498,13200.0
kmhcn46cx9u341270,13200.0
1fmjk1h5xbef34161,13200.0
jm1gj1v66e1162487,13200.0
1fafp55s53g166741,13200.0
jhlre4h47bc035761,13200.0
1hgcg56702a023996,13200.0
3vwrt71k66m746558,13200.0
5tfdw5f17cx249548,13200.0
2c4rdgcg8er253237,13200.0
19uua56883a074677,13200.0
2lmdu68cx8bj05646,13200.0
5n1ar18u67c626356,13200.0
1ftne2ew8eda20173,13200.0
1fahp3gn9bw184524,13200.0
19xfb2f5xee243381,13200.0
1gtw7fca5e1905770,13200.0
1zvht85h455209305,13200.0
1fafp55u11a128859,13200.0
jthbe1bl6d5001460,13200.0
jm3er2bm7b0405127,13200.0
2c3cdxct1eh315591,13200.0
5xxgn4a7xcg039135,13200.0
1g2zg57bx94117540,13200.0
3n1ab6ap9al644813,13200.0
jtjbt20x930014425,13200.0
1g6dt57v780164982,13200.0
2fmdk3kc4eba30799,13200.0
2c4rdgbg9dr616368,13200.0
1ft8w3bt5cea27096,13200.0
jthbe96s070016618,13200.0
jtmbk33v085063691,13200.0
3lnhm28t28r660744,13200.0
jtmbd31v275093545,13200.0
1gtek19z26z254627,13200.0
jtebu5jr0a5028050,13200.0
4t1be46k07u044069,13200.0
5xxgm4a7xeg282238,13200.0
5npdh4ae4eh505402,13200.0
wdbrf40j63f382931,13200.0
5tfhy5f11dx308848,13200.0
1n4aa5ap9bc866393,13200.0
1j4gz78yxwc163618,13200.0
2t3bf4dv6bw173640,13200.0
1n4al3ap6dn429862,13200.0
1c3cdzab4cn136021,13200.0
1fmcu0dg1ckc48030,13200.0
jn8ae2kp0d9068333,13200.0
1mefm50ux2g620409,13200.0
